arrival,elevation
"Blawenburg, New Jersey",36
"East Millstone, New Jersey",26
Khowai,23
Udaipur,22
Udaipur,423
Veltruby,193
Malvan,5
Bukit Larut,1
São Miguel do Araguaia,378
Constantia,91
Amalapuram,3
Andrejová,319
Gutenstein,481
Sankt Aegyd am Neuwalde,588
Sankt Lambrecht,1028
Beloveža,295
Becherov,426
Bodružal,359
Tolú,2
Markapuram,145
Chavinda,1572
New Town,9
Aflenz Kurort,765
Feldbach,282
Mullinalaghta,98
Pińczów,300
Etmißl,712
Parschlug,700
Turnau,755
Włoszczowa,240
Dąbrowa Tarnowska,120
Szydłowiec,260
Aniwa,42
Zhydachiv,261
Kodyma,266
Sherghati,121
Tarapur,10
Liuboml,187
Schönbach,731
Vaniyambadi,371
Bad Mitterndorf,809
Zakroczym,67
L'Alcúdia,40
Ciechocinek,40
Gurk,662
Frenštát pod Radhoštěm,401
Štramberk,415
Faridkot district,196
Drnovice,256
Sri Muktsar Sahib district,184
Hroznatín,587
Moravská Třebová,360
Fatehgarh Sahib,246
Orlová,215
Valašské Meziříčí,294
Rožnov pod Radhoštěm,378
Sedlčany,321
Temelín,443
Dukovany,352
Sezimovo Ústí,399
Želetava,578
Partizánske,190
Žiar nad Hronom,180
Studénka,239
Staszów,199
Jamkhed,590
"Morton, Indiana",265
Serei Saophoan,15
Campo de Criptana,707
Battambang,39
Kampot,1
Chausa,55
Khar,870
Blanes,13
Baloži,18
Ikšķile,20
Castrillón,434
Arbet Kozhaya,1000
Veliki Gaj,80
San Vicente de la Barquera,15
Dapoli,243
Johnsbach,853
El Hatillo Municipality,1136
Ilūkste,100
Krásna Ves,256
Rozvadov,570
Dětmarovice,214
Nankai,7
Uherský Ostroh,178
Otrokovice,190
Podskalie,360
Gniew,47
Jastarnia,7
Dolní Lomná,460
Horní Lomná,595
Vrbno pod Pradědem,545
Pasohlávky,175
Ranni,331
Luhačovice,253
Hluchov,324
New Alipore,15
Tiruchengode,271
Radziejów,124
Grygov,206
Bělotín,297
Brodek u Přerova,205
Suchdol nad Odrou,272
Novolazarevskaya Station,102
Pole of Inaccessibility,3800
Leningradskaya Station,300
Russkaya Station,126
Kildysart,35
Wildervank,2
Nes,1
Buren,3
Scheifling,145
Mauterndorf,1123
Straßburg,642
Svoge,679
Pathanamthitta,31
Ipiales,2898
Quepos,5
Santa Ana,904
Fort Bidwell,1391
Jermenovci,76
Khuldabad,857
Bapatla,6
Blšany,199
Toribío,1701
Prince Alfred Hamlet,520
Ashfield-Colborne-Wawanosh,269
Pithapuram,10
Pammal ,47
Unterach am Attersee,477
Jarszewko,640
Sandspit,6
Cornudella de Montsant,533
Chilas,1265
"Schooleys Mountain, New Jersey",310
Bilje,87
Erdut,158
Nilokheri,237
Heitai,139
Petlovac,90
Abanilla,201
Žminj,355
Shiquanhe ,4
Bentveld,8
Vrbanja,87
Bale,142
Barban,229
Brtonigla,141
Municipality of Želino,755
Wabasca,550
"Washoe Valley, Nevada",1543
Halasi,649
Abarán,400
Jesenovik,80
Augusto Pestana,390
Vodnjan,135
Dryanovo,230
Brouwershaven,2
Zonnemaire,0
Dreischor,0
Noordgouwe,0
Schuddebeurs,0
Nieuwerkerk,0
Oosterland,0
Sirjansland,0
Scharendijke,0
Kerkwerve,3
Burgh,3
Gapinge,2
Breezand,1
Oostkapelle,1
Grijpskerke,0
Koudekerke,2
Dishoek,2
Biggekerke,2
Joossesweg,1
Kortgene,0
Colijnsplaat,3
Kats,1
Kamperland,1
Wissenkerke,1
Geersdijk,1
Scherpenisse,2
Sint-Maartensdijk,1
Stavenisse,0
Sint-Annaland,0
Sint Philipsland,0
Anna Jacobapolder,0
Nieuwer-Ter-Aa,0
Nakhon Nayok,10
Kelč,307
Nahur,349
Millstatt,611
Chrząchów,180
Hasimara,109
Tuljapur,648
Valinhos,660
Chira,15
Chak Dina,970
Orosi,1051
Káraný,173
Clark's Harbour,2
Spui,2
Hoek,1
Sluiskil,2
Zaamslag,1
Zuiddorpe,2
Wittelte,7
Zorgvlied,8
Lhee,10
Lheebroek,10
Geeuwenbrug,10
Leggeloo,10
Dieverbrug,8
Darp,16
Havelterberg,6
Wapserveen,5
Frederiksoord,5
Nijensleek,3
Vledderveen,5
Wilhelminaoord,6
Hijken,14
Oranje,15
Wijster,15
Smilde,14
Bovensmilde,13
Hoogersmilde,13
Eursinge,18
Zuidveld,17
Nieuw-Balinge,16
Zwiggelte,16
Garminge,16
Balinge,17
Mantinge,17
Kršan,130
Lanišće,546
Marčana,170
Pićan,360
Raša,10
Svetvinčenat,250
Vižinada,40
Hallum,0
"Brampton Township, North Dakota",398
Loznica,121
Annen,14
Gasteren,12
Schipborg,6
Eexterveen,2
Spijkerboor,1
Nieuw Annerveen,2
Oud Annerveen,2
Annerveenschekanaal,2
Eexterveenschekanaal,2
Gasselte,13
Gasselternijveen,5
Gasselternijveenschemond,5
Gieten,16
Gieterveen,4
Nieuwediep,16
Balloo,15
Nijlande,14
Deurze,11
Grolloo,18
Schoonloo,20
Papenvoort,14
Amen,14
Borger,16
Westdorp,15
Ellertshaar,17
Buinen,17
Bronneger,10
Bronnegerveen,6
Nieuw-Buinen,8
Buinerveen,8
Ees,17
Eesergroen,16
Odoorn,24
Exloo,17
Valthe,22
Klijndijk,20
Odoornerveen,9
1e Exloërmond,9
Valthermond,10
2e Valthermond,10
De Groeve,1
Zuidlaarderveen,1
Midlaren,2
Eelderwolde,0
Vries,7
Donderen,5
Winde,3
Yde,4
De Punt,2
Zeegse,8
Oudemolen,600
Zeijen,10
Ducové,171
WADI E SOON ( SOON VALLEY ),1530
Koudum,6
Storozhynets,366
Manning,510
Niederthalheim,431
Pakpattan,156
Neamatpur,100
Mingora,984
Botoš,68
Daskabát,337
"Turbo, Colombia",2
Caspe,150
Kysucké Nové Mesto,362
Nová Dubnica,258
Revúca,352
Krásna,192
Riverton,218
Ballinamuck,82
Fossil Bluff Station,92
Smartsville,204
Calella,5
Cobeña,675
Lofer,626
Wörgl,511
Clogheen,54
Clonoulty,90
Law-Racoviță-Negoiță Station,65
Bylakuppe ,852
Riezlern,1086
McGee,119
Doddavaram,32
Anakapalli,29
Topusko,130
Galiyakot,145
Khichan,219
Nieszawa,50
Hei- en Boeicop,1
Middelkoop,2
Nieuwland,0
Tienhoven aan de Lek,2
Sellingen,9
Laude,9
Wollinghuizen,3
Veele,3
Ellersinghuizen,3
Pallert,3
Harpel,3
Barnflair,12
Ter Wisch,12
De Maten,12
La Unión,86
North Karnataka,500
"Kirkwood, New Jersey",21
Blanc-Sablon,2
Chía,1195
Regau,429
Leusden-Zuid,3
Stoutenburg,4
's-Heerenhoek,1
Nieuwdorp,1
Lewedorp,1
Heinkenszand,2
's-Gravenpolder ,1
Nisse,0
's-Heer Abtskerke,0
Ovezande,1
Hoedekenskerke,0
Kwadendamme,1
Baarland,0
Lattrop,19
Breklenkamp,19
Tilligte,21
Nutter,31
Groot Agelo,21
Klein Agelo,21
Noord Deurningen,19
Weerselo,17
Lemselo,17
Rossum,25
Volthe,25
Saasveld,19
Gammelke,19
Sleeuwijk,0
Hank,0
Dussen,2
Manderveen,33
Harbrinkhoek,13
Sky Blu,1
Mariaparochie,12
Geesteren,17
Langeveen,16
Vasse,34
Hezingen,33
Mander,33
Reutum,26
Fleringen,17
Ulicoten,18
Castelré,16
Zenderen,12
Hertme,13
Olesa de Montserrat,124
Zabok,186
Vierpolders,0
Pazhayangadi,10
Haringhuizen,0
Ciutadella de Menorca,24
Camargo ,35
Manlleu,461
تنس,779
Schwertberg,268
Tvrdošín,592
Skýcov,422
Likely,871
Amstetten,275
Kilmacthomas,50
Nana,362
Schladming,745
Nieuw-Beijerland,0
Piershil,1
Goudswaard,0
Zuid-Beijerland,0
Groenveld,0
Krabbendam,0
Schermerhorn,0
Halfweg,1
Velsen-Zuid,1
Driehuis,4
Velsen-Noord,1
Santpoort-Noord,1
Santpoort-Zuid,4
Velserbroek,2
Farmsum,0
Uitwierde,0
Kamra Kalan,312
Woldendorp,0
Termunten,0
Termunterzijl,0
Spijk,3
Holwierde,0
Godlinze,3
Losdorp,0
Krewerd,0
Weiwerd,0
Tarma,3053
Raichur,407
Koppal,529
Haveri,571
Chamarajanagar,720
Chitradurga,732
Kolar,849
Tumkur,822
Deogarh,192
Kendujhar,596
Carvajal Villaroel Antarctic Base,4
Jharsuguda,218
Chatrapur,17
Paralakhemundi,145
Bhawanipatna,248
Malkangiri,178
Nayagarh,178
Rayagada,207
Sambalpur,135
Khordha,75
Perambalur,143
Palampur,1
Hasan Abdal,308
Fulnek,258
Deansgrange,53
Muiderberg,0
't Woud,3
Holkerveen,4
Doornsteeg,2
Ahore,183
Raniwara,204
Reodar,249
Mošovce,484
Guácimo,67
Krompachy,375
Heeswijk,1
Themaat,128
Epe,25
Chornivka,240
Rijs,1
Langah,498
Calpella,208
Hirtenberg,280
Hirakud Town,160
Beaufort West,900
Sankt Georgen an der Gusen,262
Vrnjačka Banja,217
Belén de Umbría,1634
Udgir,632
Bell Ville,130
Cartier,239
Mălăiești,43
Urduliz,75
Ferlach,466
Kashmore,66
San Martín Base,5
Gîsca,16
Savanuru ,573
Khatra,154
Velika Plana ,123
Petrovac,127
Koluszki ,211
Greenwood,770
Pilar de la Horadada,35
Łąka,262
Katol,417
Sirumugai,292
Bodhan,357
Tona,600
Shrigonda,561
Budhni,311
Capileira ,1436
Agudo,83
Frampol,245
Skalbmierz,200
Bajpe,80
Miranda de Ebro,471
"Santa Nella, California",47
Anantnag,1601
Cáñar ,1014
L'Ametlla de Mar,19
Kilfinnane,151
Iwonicz-Zdrój,410
Kirchstetten,270
Fuenlabrada,664
Utulei,3
Sélibaby,62
Muhr,1107
Castlerock,621
"Columbia, New Jersey",93
"Buttzville, New Jersey",115
"Ledgewood, New Jersey",234
"Hibernia, New Jersey",164
"Lake Hiawatha, New Jersey",77
"Pine Brook, New Jersey",60
Sant Jaume d'Enveja,7
Challakere,585
Burnpur,75
Baní,61
Songpan County,2867
Aspas,2362
Primorsko,5
"Mante, Tamaulipas",80
Ghum ,2225
Hungund,530
Tskaltubo,120
Arriërveld,6
Stegerveld,7
Zeesse,7
Besthmen,7
Eerde,7
Giethmen,6
Varsen,7
Lemele,8
Archem,8
Dalmsholte,5
Beerzerveld,8
Beerze,8
Witharen,4
Yadagiri,389
Ommerschans,4
Pedro Martínez,1035
Vysoké Tatry,966
Gadia,111
Elkford,1300
Enfield,77
Memari,25
Bojnik,242
Hernani,44
Cill Ghallagáin,8
Zaqatala,518
Fiss,1438
Libice nad Cidlinou,190
Vadul Turcului,137
Radonice,322
Alcantarilla,62
St. Norbert,233
Layyah,143
Kiunga,33
Barsana,182
Sankarankovil,143
Multan Division,150
Sargodha Division,155
"Coppereid, Nevada",1264
Jaswantpura,272
Thirthahalli,591
'''Bhuvanagiri''',430
Blatnica,500
O'Leary,31
"Kottayam Kallara, Kottayam",0
"Unionville, Nevada",1539
Bilagi,564
Shigar,2230
Newlands,70
Schleißheim,317
Kutiyana,30
Oetrange,261
Kilcullen,114
Holenarasipura,849
Serrada,722
Alcalá de Guadaíra ,46
Melukote ,1030
Sint Jansteen,2
Clinge,0
Paal,4
Kapellebrug,2
Kloosterzande,1
Walsoorden,1
Lamswaarde,0
Kuitaart,0
Terhole,1
Vogelwaarde,0
Ossenisse,0
Saulkrasti,12
Laguardia,630
"The Ridge, [[Shimla]]",2205
Dahanu,9
Langdon,1005
San Millán de la Cogolla,728
Cornellà de Llobregat,27
Sora,716
Angelsberg,74
Rankhandi,1000
Ras el-Matn,800
Nordegg,1287
Mahād,18
Sultan,448
Weston,233
Filsdorf,288
Nagarkhas,2
Dhenkanal,80
Moga,217
Petráveč,485
Valemount,792
Zongyang,10
Předměřice nad Jizerou,188
Hořice,311
Lázně Bělohrad,291
Isagarh ,489
Sobotka,305
Choteč,310
Duchcov,201
Hrazany,535
Belchite,440
Brunete,656
Žumberk,355
Lipovec,340
Lozice,281
Lukavice,308
Kalpa,2960
Meeden,1
Derhachi,122
Bolpur,58
Killester,24
Andipatti,334
Nangal,326
"Eabametoong First Nation,",274
Pikangikum 14,335
Fountainstown,30
Hornadu,831
Montblanc,350
Banovo Brdo,217
Taro Island,25
Russell,60
Kakori,121
Baharagora,79
Rasipuram,246
Beckum,24
San Rafael,750
Kojetín,200
Valtice,192
"Layton, New Jersey",175
Míčov-Sušice,533
Vacov,732
Miřetice,456
Mladoňovice,437
Mrákotín,453
Nabočany,255
Načešice,323
Nové Hrady,384
Orel,275
Ostrov,262
Otradov,502
Perálec,477
Cruzeiro do Sul,182
Nana Machiyala,128
Kanakapura,637
Zemplín,110
Kankavli,42
Kostenets,689
Náměšť nad Oslavou,365
Wellington,1855
Barog,1860
Kufri,2289
Narkanda,2708
Cauquenes,135
"Silverton, New Jersey",4
"Bromont, Canada",139
King City weather radar station,360
Prinsenbeek,4
Podhořany u Ronova,284
Prachovice,456
Přestavky,260
Dourados,430
Raná,485
Rabštejnská Lhota,306
Rosice,257
Rozhovice,259
Řepníky,430
Řestoky,258
Smrček,363
Sobětuchy,285
Stolany,288
Stradouň,254
Střemošice,394
Studnice,624
Svídnice,294
Jammalamadugu,184
Velké Meziříčí,425
Wadi,411
Svratouch,655
Kalinovo,212
Svratka,632
Tisovec,437
Trhová Kamenice,535
Ceres,450
Mokrin,90
Sajan,83
Latchford,289
Yizhuang Area,36
O'Briensbridge–Montpelier,20
Caragh,117
Santa Úrsula,290
Třibřichy,253
Tuněchody,237
Úherčice,394
Úhřetice,237
Vápenný Podol,477
Včelákov,493
Vejvanovice,248
Vinary,272
Vítanov,548
Vojtěchov,528
Vortová,612
Všeradov,572
Vysočina,567
Vyžice,380
Trojovice,252
Hodal,190
Zaječice,265
Zájezdec,264
Zderaz,478
Žlebské Chvalovice,385
North Strand,3
Eichenberg,238
Barikot,808
Wouw,6
Tura,349
Albrechtice,395
Anenská Studánka,505
Běstovice,287
Bošín,280
Brandýs nad Orlicí,305
Bučina,324
Bystřec,490
Cotkytle,618
Králíky,550
Borsad,30
Čenkovice,665
"Villanueva, New Mexico",1789
Algámitas,447
Arahal,117
Těchonín,494
Králíky,235
Česká Rybná,435
České Heřmanice,309
České Libchavy,355
Zářecká Lhota,645
Damníkov,362
Dlouhá Třebová,345
Dlouhoňovice,416
Dobříkov,264
Žampach,382
Wapenveld,5
Nieuwleusen,3
Sayan,19
São João da Boa Vista,767
Welda Township,329
"Walpi, Arizona",1884
Roundwood,238
Yogyakarta,113
Hulín,191
Holešov,232
Valašské Klobouky,405
Valea Adîncă,85
Boolavogue,60
Jalostotitlán,1763
Reichenau an der Rax,484
Maduravoyal,36
Arumbakkam,60
Toledo,550
Martinsberg,825
Sinemorets,0
Shanly,87
Benaocaz ,793
Castellar de la Frontera ,47
El Bosque,298
Torre Alháquime,495
Liozna,193
Santa Marta de Tormes,778
Pavlovce nad Uhom,106
Campile ,48
Adorp,1
Almkerk,0
Alphen,24
Canavese,300
Amstenrade,91
Andel,1
Barwoutswaarder,0
Beers,2
Mancera de Abajo,898
Raaba,350
Jevíčko,366
Corinto,698
Acayucan,100
Rio Grande,6
Bergharen,8
Berlicum,19
Born,39
Boschkapelle,1
Píla,244
"Noroton Heights, Connecticut",30
Glenamoy,12
"Pittstown, New Jersey",116
"Franklin Park, New Jersey",36
Tirumangalam,150
Davidov,197
Pindigheb ,310
Fatehabad,162
Pavlovce,266
Cocieri,47
Anchal,45
Barda,76
"Crystal Springs, Nevada",1164
Staré Hory,539
Ubaté,2556
Petrovce,325
Ballyhaise,84
Moravany,110
Lesné,141
Veľké Slemence,103
Schützen am Gebirge,130
Strážske,134
Žbince,104
Gudalur,416
Gudalur,1182
Krupina,262
Berinag,1895
Maittanpatti,109
Vinné,144
Dedinky,784
Gemerská Poloma,327
Hrhov,216
Krásnohorské Podhradie,354
Kobeliarovo,455
Porong,4
Sverepec,302
Vyšné Nemecké,132
Ubľa,223
Nová Sedlica,389
Príkra,434
Kombai,399
Krishnagiri,525
San Giovanni sotto le Penne,20
Valdragone,466
Corianino,350
Falciano,150
Plešivec,216
Ie,0
Stratená,831
Štítnik,284
Červená Řečice,455
Bácovice,544
Porostov,109
Lekárovce,107
Nižné Nemecké,115
Vishnu Springs,181
Balaclava,227
Thaneek Pura,950
Żelechów,170
Aleksandrovo,65
Banatsko Karađorđevo,74
Samaná,5
Borša,101
Ľubietová,471
Ștefan Vodă,162
Kediri,65
Boťany,101
Mala Tŕňa,167
Slovenské Nové Mesto,102
Resavica ,470
Bogovina,264
Zlatibor,1010
Rovné,383
Thiruvilwamala,50
Čierna nad Tisou,110
Madison,46
Dimane,1400
Dipalpur,167
Cania,46
Hollabrunn,236
Sečovce,136
Betlanovce,547
Hrabušice,542
Popintsi,350
Elshitsa,452
Azua de Compostela,83
Kolayat,217
Mangalam,32
Puducherry,3
Markušovce Manor House,425
Spišské Tomášovce,519
Rudňany,547
Smižany,479
Žehra,450
Pallapatti,174
Zucchelli Station,15
Vlachovo Březí,525
Moodabidri,147
Bisamberg,192
Enzersfeld,186
Ernstbrunn,293
Cooraclare,18
Nijeveen,0
Mohanpur,164
Mohanpur,17
Salboni,25
Nayagram,24
Panskura,7
Daspur - I,9
Ramnagar I,4
Hammana,1200
Čaka,179
Visolaje,267
"Johnsonburg, New Jersey",175
Ghangaria,3049
Keshiari,24
Remedios,700
Rogat,3
Opeinde,2
"Oldwick, New Jersey",66
Bedi,7
Sincé,137
Grand Bay,29
Esko,356
Vojvoda Stepa,70
Kangding,2560
Thalaivasal,187
"Sivagiri, Erode",222
Sivagiri(சிவகிரி),165
Kafar Kila,400
Lanjarón,659
Aleksinački Rudnik,197
Vrbica,69
Dužine,74
Raab,381
Geevagh,90
Barice,76
Keadue / Keadew,82
Thiruppuvanam,108
Round Spinney,94
Badvel,126
Uliastai,1753
Jeonara,655
Kulasekharam,280
Kalná nad Hronom,175
Janošik,75
Lokve,76
Kupinik,78
La Quar,885
Queen's Park,74
Ramapuram,5
Ramapuram,1
Horní Kruty,408
Kozárovce,187
Sachin,13
Chikhli,19
Kuraľany,162
Unn,40
Tehran County,2000
Nový Tekov,171
Ličartovce,282
Iđoš,83
"Americus, Indiana",170
"Glen Hall, Indiana",188
"Heath, Indiana",204
"Montmorenci, Indiana",213
Monroe,240
"Odell, Indiana",224
"Star City, Nevada",1823
"Belleville, Nevada",1582
Ardabil County,83
Parsabad County,1843
Ilam County,1170
Ashkezar County,159
Samalqan County,810
Fariman County,1105
Pukanec,352
Trešnjevac,87
Orom,115
Čestereg,83
Tekovský Hrádok,154
Tekovské Lužany,152
Craanford,48
Maryvale,341
Tlmače,189
Báb,163
Babindol,195
Zbehy,144
Dharampur,74
Loutolim,32
"Monitor, Indiana",180
"Taylor, Indiana",197
"North Crane, Indiana",207
Paredes de Sigüenza,1003
Branč,133
Horné Lefantovce,188
Chellanam,5
Santa Cristina d'Aro,30
Pals,55
Ullastret,49
Kadi,56
Lathi,141
Lukáčovce,168
Lužianky,154
Ľudovítová,150
Madunice,147
Malý Cetín,131
Paňa,178
Tajná,162
Veľké Zálužie,170
Dubovac,59
Šumarak,100
Gaj,64
Pločica,57
Huzurabad,271
Branovo,130
Bíňa,130
Whitewood,598
Boridi,5
Chirala,3
Sijarinska Banja,450
Ode,39
Kawal,232
Bavanište,82
Markovac ,156
Mahabubabad,177
Kharan,692
Curridabat,1208
Gbelce,133
Hetin,65
Kamenica nad Hronom,132
Dolný Ohaj,124
Velika Greda,74
Ballari district,449
Liblice,197
Dubník,138
Dvory nad Žitavou,121
Kamenín,125
Kolta,174
Stotesbury,112
Komoča,110
Rastislavice,124
Mužla,121
Nána,108
Rúbaň,135
Podhájska,141
Radava,151
Strekov,140
Svodín,193
Trávnica,130
Tvrdošovce,119
Veľké Lovce,162
Úľany nad Žitavou,126
Vlkas,133
Zemné,112
Černík,129
Slovakia,248
Ladice,197
Lovce - ,271
Malé Vozokany,176
Mankovce,241
Martin nad Žitavou,196
Kankhal,260
Jazovo,87
Mattice-Val Côté,232
Namyang Workers' District,40
Radojevo,65
Novi Kozarci,69
Rusko Selo,71
Ostojićevo,88
Padej,82
Konak,43
Nemčiňany,192
Neverice,182
Obyce,248
Sľažany,198
Tesárske Mlyňany,168
Topoľčianky,226
Velčice,223
Veľké Vozokany,181
Tekovské Nemce,242
Vieska nad Žitavou,188
Žikava,274
Čaradice,245
Červený Hrádok,170
Bajč,121
Bodza,110
Bodzianske Lúky,109
Kravany nad Dunajom,169
Marcelová,112
Martovce,112
Holiare,110
Dulovce,136
Chotín,110
Búč,117
Imeľ,111
Iža,108
Sokolce,110
Moča,109
Modrany,128
Mudroňovo,157
Kameničná,110
Svätý Peter,138
Zemianska Olča,113
Nesvady,112
Klížska Nemá,111
Zlatná na Ostrove,120
Okoličná na Ostrove,113
Veľké Kosihy,110
Tôň,112
Trávnik,114
Patince,109
Pribeta,135
Lipové,109
Ravni Topolovac,69
Jarul,514
Bhar Singh Pura,246
Oudorp,0
Boksum,0
Gor,1238
Čalovec,108
Číčov,110
Šrobárová,122
Hurbanovo,114
Dlhá nad Váhom,115
Pamplona,2342
Kráľová nad Váhom,117
Neded,111
Močenok,130
Tešedíkovo,114
Trnovec nad Váhom,116
Žihárec,111
Selice,113
Vlčany,111
Bisle,840
Vadugam,246
Bartošovce,355
Bogliarka,445
Brezov,190
Brezovka,346
Buclovany,245
Cigeľka,526
Dubinné,216
Frička,514
Fričkovce,437
Gaboltov,410
Gerlachov,790
Gerlachov,354
Kamieskroon,750
Harhaj,212
Hažlín,283
Hertník,463
Hervartov,450
Hrabské,474
Hutka,372
Chmeľová,363
Jedlinka,405
Kľušov,317
Kobyly,362
Koprivnica,262
Kožany,244
Krivé,277
Kríže,565
Kružlov,350
Kučín,124
Kurima,214
Kurov,400
Lascov,190
Lenartov,475
Livov,510
Krajišnik,58
Głogówek,212
Lukov,421
Wildwood Park,232
Arungundram,163
Asaka,495
Livovská Huta,653
Malcov,410
Lopúchov,268
Dragoman,703
Klek,74
Chaukori,2010
Třebsko,533
Nagari,115
Stari Lec,47
Slinfah,1130
Marhaň,195
Mokroluh,324
Nemcovce,210
Mikulášová,345
San José de Ocoa,475
Monte Plata,56
Majur,160
Selca,571
Nižná Polianka,385
Nižná Voľa,270
Nižný Tvarožec,420
Oľšavce,240
Ondavka,481
Sultanpur,366
Srinagar,560
Roorkee Cantonment,284
La Roda de Andalucía,405
Mali Žam,88
Dosrius,147
Ramnagar,345
Raipur,483
Fužine,722
Mali Lošinj,0
"Chamba, Uttarakhand",1524
Ortuťová,231
Osikov,367
Petrová,449
Poliakovce,225
Raslavice,310
Regetovka,472
Garhgaon,95
Tršice,324
Rešov,485
Richvald,375
